Row,Filename_x,topic_tag_x,Set_x,Filename_y,topic_tag_y,Set_y
1818,FF1output_id39_delay0.5.mp4,対戦風景,Set600,MF21output_id27_delay1.75.mp4,対戦結果,Set(2)91
2611,MM3output_id10_delay0.75.mp4,アイテム,Set600,MF21output_id14_delay1.75.mp4,アイテム,Set(2)11
922,FF1output_id24_delay1.5.mp4,アイテム,Set600,MF13output_id31_delay0.75.mp4,対戦風景,Set(2)108
3241,MM3output_id23_delay-1.25.mp4,対戦風景,Set601,FF3output_id16_delay-1.0.mp4,アイテム,Set(2)119
2642,MM3output_id13_delay-1.0.mp4,対戦風景,Set601,MF23output_id24_delay-0.75.mp4,対戦結果,Set(2)113
3268,MM3output_id23_delay-0.5.mp4,対戦風景,Set601,MF11output_id13_delay-0.5.mp4,対戦風景,Set(2)9
2983,MM3output_id18_delay0.75.mp4,対戦風景,Set601,MM3output_id7_delay0.0.mp4,アイテム,Set(2)72
1307,FF1output_id30_delay1.75.mp4,ファイター,Set601,FF2output_id21_delay0.75.mp4,対戦風景,Set(2)42
1640,FF1output_id36_delay1.0.mp4,対戦風景,Set602,MM1output_id28_delay0.5.mp4,対戦風景,Set(2)41
3514,MM3output_id27_delay1.5.mp4,対戦風景,Set602,FF2output_id10_delay0.75.mp4,アイテム,Set(2)83
1320,FF1output_id31_delay-1.5.mp4,ファイター,Set603,MF13output_id21_delay-1.0.mp4,対戦風景,Set(2)22
1249,FF1output_id29_delay-1.25.mp4,ファイター,Set603,FF3output_id11_delay-1.0.mp4,対戦風景,Set(2)4
3111,MM3output_id20_delay-0.75.mp4,アイテム,Set603,FF3output_id14_delay1.25.mp4,アイテム,Set(2)88
3138,MM3output_id21_delay0.5.mp4,対戦風景,Set603,FF3output_id5_delay1.75.mp4,アイテム,Set(2)138
2640,MM3output_id13_delay-1.5.mp4,対戦風景,Set604,MF24output_id16_delay-1.0.mp4,対戦風景,Set(2)48
776,FF1output_id21_delay1.0.mp4,対戦風景,Set604,MF13output_id33_delay0.5.mp4,対戦結果,Set(2)80
3249,MM3output_id23_delay1.25.mp4,対戦風景,Set604,FF4output_id29_delay0.5.mp4,対戦風景,Set(2)78
2543,MM3output_id9_delay1.75.mp4,対戦風景,Set604,MF12output_id18_delay-1.25.mp4,ファイター,Set(2)40
1256,FF1output_id29_delay1.0.mp4,ファイター,Set605,MM1output_id20_delay0.5.mp4,対戦風景,Set(2)136
1833,FF1output_id39_delay1.25.mp4,対戦風景,Set605,FF1output_id28_delay0.5.mp4,対戦風景,Set(2)37
2374,MM3output_id6_delay1.5.mp4,アイテム,Set605,MM2output_id4_delay-1.25.mp4,ファイター,Set(2)127
2223,FF1output_id47_delay-0.75.mp4,対戦結果,Set606,MM3output_id10_delay1.25.mp4,アイテム,Set(2)116
689,FF1output_id20_delay0.0.mp4,対戦風景,Set606,MM2output_id19_delay1.5.mp4,アイテム,Set(2)129
2145,FF1output_id44_delay1.25.mp4,ファイター,Set606,MF13output_id18_delay0.5.mp4,対戦風景,Set(2)54
652,FF1output_id19_delay-0.5.mp4,アイテム,Set607,MM2output_id9_delay-0.5.mp4,アイテム,Set(2)114
1552,FF1output_id34_delay-0.5.mp4,アイテム,Set607,FF3output_id6_delay1.5.mp4,アイテム,Set(2)41
3226,MM3output_id22_delay1.5.mp4,対戦風景,Set607,MM2output_id12_delay0.75.mp4,アイテム,Set(2)135
1308,FF1output_id30_delay-1.5.mp4,ファイター,Set608,MF24output_id19_delay1.0.mp4,ファイター,Set(2)148
390,FF1output_id15_delay0.5.mp4,ファイター,Set608,FF1output_id36_delay0.0.mp4,対戦風景,Set(2)44
1435,FF1output_id32_delay0.75.mp4,対戦風景,Set608,MF23output_id24_delay1.75.mp4,対戦結果,Set(2)79
669,FF1output_id20_delay1.25.mp4,対戦風景,Set608,MF13output_id21_delay-1.5.mp4,対戦風景,Set(2)135
3385,MM3output_id25_delay-1.25.mp4,対戦風景,Set609,FF4output_id22_delay-1.0.mp4,アイテム,Set(2)80
134,FF1output_id11_delay-1.0.mp4,対戦風景,Set609,MF22output_id23_delay1.25.mp4,対戦風景,Set(2)91
1088,FF1output_id27_delay1.0.mp4,対戦風景,Set609,MF23output_id19_delay0.5.mp4,対戦風景,Set(2)131
791,FF1output_id22_delay1.75.mp4,ファイター,Set609,MF12output_id4_delay-1.25.mp4,ファイター,Set(2)64
1740,FF1output_id38_delay-1.5.mp4,対戦風景,Set610,FF3output_id22_delay1.0.mp4,対戦風景,Set(2)21
497,FF1output_id17_delay0.0.mp4,アイテム,Set610,MM1output_id11_delay1.5.mp4,対戦風景,Set(2)86
438,FF1output_id16_delay0.5.mp4,アイテム,Set610,MM4output_id15_delay0.0.mp4,対戦風景,Set(2)32
3343,MM3output_id24_delay0.75.mp4,対戦風景,Set610,MM2output_id5_delay0.0.mp4,対戦風景,Set(2)45
1510,FF1output_id34_delay1.5.mp4,アイテム,Set610,FF1output_id20_delay-1.25.mp4,対戦風景,Set(2)97
3168,MM3output_id21_delay-1.5.mp4,対戦風景,Set611,FF2output_id34_delay-1.0.mp4,対戦結果,Set(2)82
3546,MM3output_id28_delay0.5.mp4,対戦風景,Set611,FF4output_id22_delay1.75.mp4,アイテム,Set(2)141
18,FF1output_id8_delay0.5.mp4,ファイター,Set611,MF22output_id7_delay1.75.mp4,対戦風景,Set(2)56
3512,MM3output_id27_delay1.0.mp4,対戦風景,Set611,MM1output_id29_delay0.5.mp4,対戦風景,Set(2)87
3396,MM3output_id25_delay-1.5.mp4,対戦風景,Set612,MM3output_id19_delay1.0.mp4,アイテム,Set(2)135
1592,FF1output_id35_delay1.0.mp4,対戦風景,Set612,MF14output_id27_delay0.5.mp4,対戦風景,Set(2)116
3303,MM3output_id24_delay-0.75.mp4,対戦風景,Set613,MF23output_id3_delay1.25.mp4,ファイター,Set(2)96
2691,MM3output_id13_delay-0.75.mp4,対戦風景,Set613,MF21output_id21_delay-0.75.mp4,アシストフィギュア,Set(2)70
3430,MM3output_id26_delay1.5.mp4,アイテム,Set613,MM3output_id17_delay-1.25.mp4,対戦風景,Set(2)107
3528,MM3output_id27_delay-1.5.mp4,対戦風景,Set614,FF1output_id21_delay-1.0.mp4,対戦風景,Set(2)134
2091,FF1output_id43_delay-0.75.mp4,アイテム,Set614,FF2output_id34_delay-0.75.mp4,対戦結果,Set(2)132
1577,FF1output_id35_delay0.0.mp4,対戦風景,Set614,MF13output_id32_delay1.5.mp4,対戦風景,Set(2)105
1135,FF1output_id27_delay0.75.mp4,対戦風景,Set614,MF11output_id23_delay0.0.mp4,対戦結果,Set(2)64
2972,MM3output_id18_delay1.0.mp4,対戦風景,Set614,MM1output_id1_delay-1.5.mp4,ファイター,Set(2)94
456,FF1output_id16_delay-1.5.mp4,アイテム,Set615,MF21output_id22_delay-1.0.mp4,アシストフィギュア,Set(2)121
1566,FF1output_id35_delay0.5.mp4,対戦風景,Set615,MF21output_id21_delay0.0.mp4,アシストフィギュア,Set(2)102
1506,FF1output_id34_delay0.5.mp4,アイテム,Set615,FF4output_id12_delay1.75.mp4,対戦風景,Set(2)76
837,FF1output_id22_delay1.25.mp4,ファイター,Set615,FF2output_id20_delay-1.5.mp4,対戦風景,Set(2)68
649,FF1output_id19_delay-1.25.mp4,アイテム,Set616,FF3output_id19_delay-1.0.mp4,対戦風景,Set(2)68
2186,FF1output_id45_delay-1.0.mp4,対戦風景,Set616,MM2output_id29_delay-0.75.mp4,対戦風景,Set(2)121
3131,MM3output_id21_delay1.75.mp4,対戦風景,Set616,MM1output_id19_delay0.75.mp4,対戦風景,Set(2)135
3518,MM3output_id27_delay-1.0.mp4,対戦風景,Set617,FF4output_id23_delay1.25.mp4,アイテム,Set(2)100
809,FF1output_id22_delay0.0.mp4,ファイター,Set617,MF13output_id33_delay1.5.mp4,対戦結果,Set(2)72
139,FF1output_id11_delay0.75.mp4,対戦風景,Set617,FF4output_id15_delay1.75.mp4,ファイター,Set(2)145
1109,FF1output_id27_delay0.0.mp4,対戦風景,Set618,MF23output_id13_delay-0.5.mp4,対戦風景,Set(2)8
224,FF1output_id12_delay1.0.mp4,アイテム,Set618,MF22output_id12_delay0.5.mp4,対戦風景,Set(2)132
3144,MM3output_id21_delay-1.5.mp4,対戦風景,Set619,MF21output_id28_delay-1.0.mp4,対戦結果,Set(2)49
28,FF1output_id8_delay-0.5.mp4,ファイター,Set619,FF2output_id24_delay-0.5.mp4,アイテム,Set(2)110
1199,FF1output_id28_delay1.75.mp4,対戦風景,Set619,MF12output_id29_delay-1.25.mp4,対戦風景,Set(2)60
3156,MM3output_id21_delay-1.5.mp4,対戦風景,Set620,FF4output_id11_delay1.0.mp4,対戦風景,Set(2)128
2965,MM3output_id18_delay-1.25.mp4,対戦風景,Set620,MM2output_id17_delay1.0.mp4,対戦風景,Set(2)38
1551,FF1output_id34_delay-0.75.mp4,アイテム,Set620,FF4output_id27_delay1.25.mp4,対戦風景,Set(2)122
2266,FF1output_id47_delay1.5.mp4,対戦結果,Set620,FF1output_id20_delay0.75.mp4,対戦風景,Set(2)37
219,FF1output_id12_delay-0.75.mp4,アイテム,Set621,MM3output_id14_delay-0.75.mp4,対戦風景,Set(2)7
1281,FF1output_id30_delay1.25.mp4,ファイター,Set621,MF23output_id16_delay0.5.mp4,対戦風景,Set(2)93
801,FF1output_id22_delay1.25.mp4,ファイター,Set621,MF12output_id26_delay0.5.mp4,ファイター,Set(2)121
168,FF1output_id11_delay-1.5.mp4,対戦風景,Set622,MF23output_id15_delay-1.0.mp4,対戦風景,Set(2)91
763,FF1output_id21_delay0.75.mp4,対戦風景,Set622,MF24output_id9_delay1.75.mp4,アイテム,Set(2)136
3488,MM3output_id27_delay1.0.mp4,対戦風景,Set622,MF13output_id33_delay0.5.mp4,対戦結果,Set(2)141
3225,MM3output_id22_delay1.25.mp4,対戦風景,Set622,FF4output_id24_delay0.5.mp4,アイテム,Set(2)97
2327,MM3output_id5_delay1.75.mp4,対戦風景,Set622,MF12output_id20_delay-1.25.mp4,対戦風景,Set(2)2
834,FF1output_id22_delay0.5.mp4,ファイター,Set623,FF4output_id20_delay1.75.mp4,ファイター,Set(2)40
619,FF1output_id19_delay0.75.mp4,アイテム,Set623,MF11output_id5_delay1.75.mp4,ファイター,Set(2)35
296,FF1output_id13_delay1.0.mp4,アイテム,Set623,MF22output_id18_delay0.5.mp4,対戦風景,Set(2)122
382,FF1output_id15_delay1.5.mp4,ファイター,Set623,MF21output_id5_delay-1.25.mp4,アイテム,Set(2)118
1324,FF1output_id31_delay-0.5.mp4,ファイター,Set624,MF12output_id29_delay-0.5.mp4,対戦風景,Set(2)88
1089,FF1output_id27_delay1.25.mp4,対戦風景,Set624,MM3output_id18_delay0.5.mp4,対戦風景,Set(2)51
2171,FF1output_id45_delay1.75.mp4,対戦風景,Set624,FF4output_id16_delay0.75.mp4,ファイター,Set(2)132
3158,MM3output_id21_delay-1.0.mp4,対戦風景,Set625,FF3output_id15_delay1.25.mp4,アイテム,Set(2)98
2955,MM3output_id18_delay-0.75.mp4,対戦風景,Set625,FF2output_id24_delay-0.75.mp4,アイテム,Set(2)29
663,FF1output_id20_delay-0.75.mp4,対戦風景,Set625,MF14output_id25_delay1.25.mp4,アイテム,Set(2)65
751,FF1output_id21_delay0.75.mp4,対戦風景,Set625,MF22output_id8_delay0.0.mp4,対戦風景,Set(2)62
264,FF1output_id13_delay-1.5.mp4,アイテム,Set626,FF2output_id25_delay-1.0.mp4,対戦風景,Set(2)127
